Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
18-Set-09;MT-1045;M6;209156;1.92;0.01;1.86;6.99;100;250;45;10;10;34.20875;0.150073529;9.158970588;9.703125;66.11908396;18.76317099;65;300;30;5;11;8.44;0.06;31.95;4.81;11.39506394;45.72093796;44
30-Set-09;MT-1048;M6;35820;3.23;0.01;2.86;6.4;250;200;125;15;9.8;34.55672378;0.12270048;8.79294037;11.18575737;80.12905642;22.00466855;78.5;250;90;20;10.8;2.17;0.04;36.3;2.65;3.028003863;54.667165;53
5-Oct-09;MT-1049;M6;23996;1.86;0.02;0.84;6.46;200;120;90;15;9.9;29.54;0.13;4.53;9.54;70.33426921;23.57545578;70;200;40;10;10.8;3.66;0.1;27.15;3.5;3.564511503;57.7955201;55
17-Nov-09;MT-1051;M3;44239;1.9;0.01;2.56;17.27;20;180;50;5;10.1;24.47;0.05;5.61;25.59;86.54135427;14.60306255;80;200;60;5;10.85;3.61;0.01;38.1;13.09;10.82720821;84.10573848;82
17-Nov-09;MT-1052;M4;21950;2.15;0.01;2.23;15.03;15;180;80;5;10.1;23.95;0.15;10.6;20.04;84.57118744;36.51788214;82;250;75;5;10.85;3.58;0.02;38.6;7.54;5.672890476;59.67487027;58
17-Nov-09;MT-1053;M6;49324;1.91;0.01;5.24;11.56;30;200;80;20;10;20.93;0.19;8.29;18.02;89.47240884;12.50034608;85;250;70;10;10.8;1.07;0.01;48.1;5.92;5.315288573;84.28217824;82
17-Nov-09;MT-1055;M4;42281;0.74;0.06;2.25;3.44;15;180;15;10;10.1;16.65;1.61;7.68;11.11;77.43565264;11.37415647;75.5;250;20;10;10.96;1.43;0.11;39.05;3.89;9.573188918;83.24782264;80
25-Feb-10;MT-1057;M4A;77134;1.53;0.05;6.78;7.52;80;180;110;10;10.2;26.85;1.18;5.4;21.44;79.96370536;3.636600801;76.5;300;20;5;10.8;1.13;0.01;51.8;3.96;8.873293731;91.97915689;88.5
25-Feb-10;MT-1058;M4;51626;2.38;0.04;6.23;12.01;40;180;40;10;10.2;27.49;0.75;4.43;24.64;72.48902278;5.265325701;69;300;20;5;10.8;4.77;0.01;46.8;7.5;19.77277147;87.44178816;84
16-Mar-10;MT-1062;M6;19200;1.78;0.01;1.83;7.35;150;180;80;10;10.1;29.42;0.14;4.84;8.3;74.57487373;63.62581635;73;250;20;5;11;1.45;0.01;26.45;3.2;1.826115809;40.12464735;42
16-Mar-10;MT-1065;M6;124950;2.21;0.012;2.73;5.48;160;180;20;10;10.1;36.8;0.26;9.22;9.54;52.49369887;10.6496659;60;300;20;5;11;10.44;0.04;39.25;4.46;19.77072463;60.18765945;62
18-Mar-10;MT-1067;M6;35000;0.67;0.13;2.34;2.1;140;150;40;10;9.8;12.5;9.64;2.86;7.73;20.61423834;1.283397791;22;250;30;5;11;3.54;0.35;23.88;2.44;23.78965561;43.66738547;43
24-Mar-10;MT-1068;M6;32542;1.66;0.02;5.27;5.58;120;220;35;10;10.1;32.36;0.59;9.12;11.9;60.88280351;5.401520583;60;300;45;10;10.7;3.92;0.04;50.15;2.87;21.3669957;86.05248186;85
25-Mar-10;MT-1070;M6;28508;1.48;0.01;0.76;5.29;120;100;40;10;10.1;33.54;0.19;2.86;8.35;57.53497074;9.577749994;58;150;25;10;10.7;8.41;0.04;17;4.3;11.25501525;44.4147926;40
25-Mar-10;MT-1072;M6;36724;2.37;0.01;1.6;4.73;150;180;60;15;10.1;38.08;0.15;3.3;8.77;55.83918174;7.160335954;56.5;200;35;10;10.7;6.37;0.1;24.4;3.37;6.424282499;36.41265764;35
